Date,Open,High,Low,Close,Adj Close,Volume
2020-03-03,157.339996,159.300003,151.080002,152.630005,151.875580,8623100
2020-03-04,155.520004,158.750000,154.050003,158.729996,157.945419,5226600
2020-03-05,154.809998,156.360001,152.110001,153.440002,152.681580,5343100
2020-03-06,148.979996,151.339996,147.119995,150.589996,149.845657,9947700
2020-03-09,140.000000,143.630005,138.240005,138.500000,137.815414,18537100
2020-03-10,144.350006,145.410004,137.899994,145.369995,144.651459,11693300
2020-03-11,141.449997,142.199997,136.300003,138.009995,137.327835,10760200
2020-03-12,129.179993,133.669998,124.410004,124.589996,123.974167,20969500
2020-03-13,132.000000,135.929993,125.000000,135.929993,135.258118,15351600
2020-03-16,121.059998,127.989998,120.000000,120.459999,119.864586,14652900
2020-03-17,122.209999,127.370003,118.000000,126.500000,125.874733,16645800
2020-03-18,118.500000,122.360001,113.000000,119.209999,118.620766,15388000
2020-03-19,117.410004,122.800003,114.589996,120.089996,119.496414,11083500
2020-03-20,121.150002,122.660004,114.800003,115.190002,114.620636,12264900
2020-03-23,113.650002,114.900002,109.489998,111.910004,111.356850,16443000
2020-03-24,117.629997,122.580002,117.000000,122.529999,121.924355,10986900
2020-03-25,123.540001,129.029999,120.589996,124.220001,123.606003,14428100
2020-03-26,124.839996,131.630005,124.660004,131.110001,131.110001,10549100
2020-03-27,127.120003,130.509995,125.510002,126.930000,126.930000,9731500
2020-03-30,127.779999,131.169998,126.639999,130.779999,130.779999,10416300
2020-03-31,130.970001,131.610001,128.020004,128.910004,128.910004,8662400
2020-04-01,124.129997,125.620003,121.769997,122.959999,122.959999,7911500
2020-04-02,122.379997,126.129997,122.019997,125.519997,125.519997,6244300
2020-04-03,124.849998,126.040001,121.860001,123.379997,123.379997,6584400
2020-04-06,128.429993,132.800003,127.779999,132.009995,132.009995,9369400
2020-04-07,137.020004,137.279999,132.080002,132.160004,132.160004,10469900
2020-04-08,133.729996,137.449997,132.419998,136.800003,136.800003,6610400
2020-04-09,138.919998,140.779999,137.809998,139.360001,139.360001,9315700
2020-04-13,138.750000,140.059998,135.630005,137.699997,137.699997,7291600
2020-04-14,140.589996,142.210007,139.970001,141.880005,141.880005,5609300
2020-04-15,138.740005,139.490005,137.429993,138.550003,138.550003,5164100
2020-04-16,139.270004,139.550003,137.429993,139.199997,139.199997,5301200
2020-04-17,142.710007,143.479996,141.080002,143.139999,143.139999,6411200
2020-04-20,141.000000,143.050003,140.509995,140.820007,140.820007,5414000
2020-04-21,138.100006,138.979996,135.869995,136.449997,136.449997,6367500
2020-04-22,139.259995,140.300003,138.360001,139.529999,139.529999,6342900
2020-04-23,140.220001,141.979996,139.440002,139.550003,139.550003,6198300
2020-04-24,140.500000,141.970001,139.259995,141.630005,141.630005,4407500
2020-04-27,142.649994,144.660004,141.000000,144.139999,144.139999,4965900
